Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
K-water Fish Kill Case Studies and Investigation Manual (2020),K-water 어류폐사 사례집 및 원인규명 조사 매뉴얼(2020년),Not in source,literature,어류폐사 사례 및 매뉴얼,한국수자원공사,internal_only,Not in source,한국수자원공사 관리 수역,Not in source,2020년 발행 (이전 사례 포함),one-time,Not in source,과거 자료 취합,Not in source,PDF/도서,"어류폐사 사례, 원인, 조사 기법",어류폐사 특성 연구 및 기존 조사 체계 분석을 위한 참고 문헌으로 활용,internal_only,사내용 자료로 명시됨,14
Fish Mortality Cause Investigation Precision Analysis Manual,어류폐사 원인 규명을 위한 정밀분석 매뉴얼,Not in source,model_output,분석 가이드라인,K-water연구원,model_generated,Not in source,national,Not in source,2024,one-time,Not in source,연구를 통한 도출,Not in source,문서,"수질, 해부, 어병, 독성 분석 방법","본 연구의 최종 결과물 중 하나로, 분야별 정밀 분석 체계를 구축하여 제시함",internal_only,연구 결과로 도출된 실무 지침서,14
ECOTOX Database,미국 환경보호청 생태독성 데이터베이스,ECOTOX,DB_system,toxicology,US EPA,public_portal,https://cfpub.epa.gov/ecotox/,global,Not in source,Not in source,Not in source,Not in source,문헌 기반 독성 DB,Not in source,디지털 DB,어종별/물질별 반수치사농도 (LC50),화학적 요인 노출 실험 시 어종별 독성값을 반영한 노출 농도 산출 근거로 활용,open,미국 EPA에서 관리하는 공신력 있는 생태독성 정보 시스템,14
Global Renewable Energy New Capacity Plan,글로벌 재생에너지 신규설비 계획,Not in source,literature,other,Not in source,literature_cited,Not in source,global,national,2020–2030,yearly,721GW,literature,Not in source,Not in source,"태양광, 육상풍력, 해상풍력, 바이오메스, 폐기물 계획량",글로벌 재생에너지 및 수상태양광의 잠재력 분석을 위한 기초 통계로 사용됨,open,신재생에너지 신규설비 계획량 및 태양광 비중 통계,64
Malaysia Renewable Energy Transition Roadmap 2035,말레이시아 신재생에너지 이행 로드맵 2035,Not in source,administrative,other,말레이시아 에너지천연자원부,public_portal,Not in source,말레이시아,national,2021-2035,event-based,Not in source,manual sampling,Not in source,Not in source,신재생에너지 발전 비중 목표,말레이시아의 중장기 신재생에너지 정책 및 발전 비중 상향 조정 계획 분석에 활용,open,2035년까지의 에너지 전환 계획 명시,64
Life-365,Life-365 내구수명 예측 프로그램,Life-365,model_output,other,American Concrete Institute (ACI),other,Not in source,national,Not in source,Not in source,Not in source,Not in source,model simulation,Life-365 Software,Software output,"염소이온 확산계수, 재령계수(m), 내구수명(년)",시화조력발전소 구조물의 염소이온 침투해석 및 내구수명 산정에 사용,open,콘크리트 내구성 설계에 널리 사용되는 수치해석 모델,65
5th Nakdong River Estuary Barrage Precision Safety Inspection Report,제5차 낙동강하굿둑 정밀안전진단 보고서,Not in source,literature,other,K-water,internal_DB,Not in source,낙동강하굿둑 전 구간,point measurement,Not in source,Not in source,정밀진단 결과 데이터,literature_cited,Not in source,PDF/Paper,"염화물 함유량 시험 결과, 피복두께, 탄산화 깊이",낙동강하굿둑 구조물의 과거 내구성 상태 파악 및 코어 채취 위치 선정을 위한 기초 자료로 활용,internal_only,유지관리 이력 데이터로 활용됨,65
Real-time Water Information System,실시간 수도정보시스템,RWIS,DB_system,water supply network,K-water,internal_DB,Not in source,National,Facility unit,Not in source,Real-time,Not in source,automatic sensor,Not in source,Not in source,"취수장, 정수장, 가압장, 배수지 운영 계통 및 실적",용수계통 및 시설별 연계 네트워크 조사를 위해 활용,internal_only,광역상수도 운영 현황 관리를 위한 핵심 내부 시스템,55
Dam Management Regulations,댐 관리규정,Not in source,administrative,legal standard,환경부,public_portal,국가법령정보센터,national,Not in source,2021년 6월 개정안 포함,Not in source,Not in source,literature_cited,Not in source,legal document,"예비방류 정의, 방류 절차, 제한수위 기준",예비방류의 법적 정의 및 가이드라인 수립의 제도적 근거로 활용,open,2021년 개정을 통해 예비방류 정의가 구체화됨,57
Water Resources Information System,수자원정보시스템,WAMIS,DB_system,GIS 및 지형정보,환경부/한국수자원공사,public_portal,www.wamis.go.kr,영천·대곡·사연댐 유역,Not in source,Not in source,Not in source,영천댐 유역면적 235.0km2 등,공공 데이터베이스,Not in source,Not in source,"유역면적, 표고, 경사, 향 등 지형지질현황",댐 유역 지형특성 분석 및 HSPF 모델링 기초자료로 활용,open,"표고, 경사, 향 분석의 주료 자료출처",58
Pilcomayo River Basin Master Plan Update Report,필코마요강 유역 통합물관리 마스터플랜 업데이트 보고서,Not in source,literature,hydrological,CTN (Trinational Commission for the Pilcomayo River),literature_cited,Not in source,"Pilcomayo River Basin (Argentina, Bolivia, Paraguay)",Basin-scale,2022–2023,Not in source,Not in source,Data compilation from 3 nations,Not in source,PDF,"Discharge, Precipitation, Temperature, Land use, Socio-economic indicators",Main source for analyzing the current status of the Pilcomayo basin for investment planning.,restricted,Joint report with IDB and CTN.,18
Pollution Source Survey (2012),전국오염원조사 (2012년 기준),Not in source,administrative,other,환경부 (국립환경과학원),public_portal,Not in source,전국 (주암/합천 유역 포함),Administrative unit (시군구/읍면동),2012,one-time,Not in source,survey,Not in source,Not in source,"오폐수 발생량, 배출 부하량",HSPF 모형의 점오염원 및 비점오염원 입력 데이터 산정,open,수질오염총량관리제 기본계획 수립을 위한 기초 데이터,41
National Pollution Source Survey,전국오염원조사자료,Not in source,administrative,other,환경부/지자체,public_portal,Not in source,영천·대곡·사연댐 유역,administrative-scale,2017,yearly,Not in source,Not in source,Not in source,Database,"인구, 축산두수, 산업폐수 발생량, 토지이용 등",오염원별 발생 및 배출 부하량 산정의 기초자료로 활용,open,2017년 기준 자료 사용,61
Regional Climate Model Scenario RCP 8.5,RCP 8.5 기후변화 시나리오,RCP 8.5,model_output,meteorological,Not in source,literature_cited,Not in source,national,Not in source,Future projections,Not in source,45 years projection,model simulation,RCP 8.5 Scenario,Not in source,"SPEI (Standardized Precipitation Evapotranspiration Index), drought frequency",극한 가뭄 발생 빈도 및 지자체별 비상 용수 확보 편익 산정에 활용,open,기후변화에 따른 미래 가뭄 위험도 분석에 사용됨,42
K-water Internal Dam Management Data,K-water 내부 댐 관리 자료,Not in source,hydrological,water level,K-water (한국수자원공사),internal_DB,Not in source,"대곡댐, 사연댐, 대암댐",site specific,Not in source,Not in source,5 locations (Ulsan area),automatic sensor,Dam management system,Not in source,"저수위, 상시만수위, 계획홍수위, 총저수용량",기존 용수공급 계통 분석 및 심도 수로터널 연결을 위한 댐 제원 검토에 활용,internal_only,"대곡, 사연, 대암댐 등 주요 수자원 시설물 정보",42
Standardized Disaster Estimation System (K-FRM),표준 재난 피해 산정 시스템 (K-FRM),K-FRM,model_output,other,Not in source,other,Not in source,울산 지역,Not in source,2008–2021,event-based,Not in source,model simulation,K-FRM Software,Not in source,"예상 피해액, 침수 흔적도",울산 지역의 홍수 발생에 따른 자산 피해 경감 편익 산정에 활용,unclear,홍수 피해 산정 체계 구축에 사용,42
MODIS Satellite Data,MODIS 영상자료,MODIS,remote_sensing,satellite imagery,NASA,public_portal,Not in source,National (South Korea),Not in source,Not in source,Not in source,19 indicators from 6 sensors,satellite,MODIS Sensor,Not in source,Crop yield related indicators,시군별 논벼 생산량 자료와 융합하여 CNN 기반 작물 수확량 추정 모델 개발에 사용,open,가뭄 전후 피해 분석 지표 개발용,43
WHO Guidelines for Drinking-water Quality,WHO 먹는 물 수질 가이드라인,WHO GDWQ,literature,water_quality,WHO,literature_cited,Not in source,global,Not in source,Not in source,Not in source,Standard reference,Not in source,Not in source,Document,Health-based targets for chemical and microbial constituents,Used as the benchmark for establishing certification criteria and revising the assessment toolkit.,open,Primary reference for the Seal of Excellence parameters.,29
Historical Dam/Gate Accident Case Data,강재수문 사고 및 교체 사례 데이터,Not in source,literature,other,"한국수자원공사, 한국농어촌공사, 한국수력원자력, 국외(미국, 일본 등)",literature_cited,강재수문 상태평가기법 개발용역보고서(2015.8),"국내외 주요 댐 (섬진강댐, 보성강댐, Folsom Dam 등)",Not in source,1937–2015 (사례 발생 시점 기준),Not in source,Not in source,Not in source,Not in source,Report Text/Table,"준공연도, 운영기간, 문제점(부식, 변형, 균열), 보수방식","수문 노후화 및 사고 원인(자연재해, 과하중 등) 분석을 통한 진단 기준 수립의 기초 자료",restricted,보안상의 이유로 상세 수치 접근이 제한적임,53
Technical Standards and Guidelines for Sluice Gate Evaluation,강재수문 상태평가 및 유지관리 지침 데이터,Not in source,administrative,other,"K-water, 국토안전관리원(시특법)",internal_DB,시설물 통합정보관리시스템 (FMS),National (K-water managed dams),Not in source,2017–2021 (지진/상태평가 기준 제개정),Not in source,Not in source,Not in source,"수문설비 유지관리지침, 강재수문 상태평가 업무지침",Not in source,"안전등급별 점검주기, 부재별 판정기준(도막두께, 마멸율, 누유량)",기존 진단체계의 문제점 분석 및 데이터 중심의 고도 진단 기법(개선안) 제안,internal_only,K-water 내부 기술기준 및 법정 안전점검 기준 포함,53
River Water Use Record,하천수 사용실적 데이터,Not in source,administrative,water intake,River Flood Control Office,other,Not in source,National rivers,Intake point unit,Not in source,Daily/Monthly,Not in source,self-reporting / automatic meter,Not in source,Not in source,"허가량, 실사용량 (취수량)",실적자료 기반 물수급 분석 모형의 수요량 입력 데이터로 활용,restricted,실제 하천수 취수 현황을 파악하는 핵심 자료,55
Agricultural Water Demand Forecast Data,농업용수 수요 추정 자료,Not in source,model_output,irrigation demand,Korea Rural Community Corporation (KRC),literature_cited,Not in source,National (agricultural districts),District/Basin scale,Not in source,Daily/Monthly,Not in source,Model simulation,Not in source,Not in source,"Crop water demand, irrigation volume",Used to evaluate the accuracy of indirect groundwater usage estimation for agriculture.,unclear,Referenced in Chapter 3/4 for improving agricultural usage estimation.,38
Dam Design Standards,댐 설계기준,Not in source,literature,engineering standard,국토해양부(현 국토교통부/환경부),literature_cited,Not in source,national,Not in source,2011년 발행본,Not in source,Not in source,literature_cited,Not in source,paper/PDF,"저수지 수위별 용적 배분 기준, 홍수조절용량 결정 방법","용어 정의(사수위, 저수위 등) 및 홍수조절용량 산정 기준 검토에 활용",open,댐 설계 및 운영의 기술적 표준 지침,57
